crop,N,P,K,pH,rainfall,temperature,humidity
rice,90,42,43,6.502985292,202.9355362,20.87974371,82.00274423
rice,85,58,41,7.038096361,226.6555374,21.77046169,80.31964408
rice,60,55,44,7.840207144,263.9642476,23.00445915,82.3207629
rice,74,35,40,6.980400905,242.8640342,26.49109635,80.15836264
rice,78,42,42,7.628472891,262.7173405,20.13017482,81.60487287
rice,69,37,42,7.073453503,251.0549998,23.05804872,83.37011772
rice,69,55,38,5.70080568,271.3248604,22.70883798,82.63941394
rice,94,53,40,5.718627178,241.9741949,20.27774362,82.89408619
rice,89,54,38,6.685346424,230.4462359,24.51588066,83.5352163
rice,68,58,38,6.336253525,221.2091958,23.22397386,83.03322691
rice,91,53,40,5.386167788,264.6148697,26.52723513,81.41753846
rice,90,46,42,7.50283396,250.0832336,23.97898217,81.45061596
rice,78,58,44,5.108681786,284.4364567,26.80079604,80.88684822
rice,93,56,36,6.98435366,185.2773389,24.01497622,82.05687182
rice,94,50,37,6.94801983,209.5869708,25.66585205,80.66385045
rice,60,48,39,7.042299069,231.0863347,24.28209415,80.30025587
rice,85,38,41,6.249050656,276.6552459,21.58711777,82.7883708
rice,91,35,39,6.970859754,206.2611855,23.79391957,80.41817957
rice,77,38,36,5.953933276,224.5550169,21.8652524,80.1923008
rice,88,35,40,5.85393208,291.2986618,23.57943626,83.58760316
rice,89,45,36,6.442475375,185.4974732,21.32504158,80.47476396
rice,76,40,43,5.070175667,231.3843163,25.15745531,83.11713476
rice,67,59,41,6.012632591,213.3560921,21.94766735,80.97384195
rice,83,41,43,6.254028451,233.1075816,21.0525355,82.67839517
rice,98,47,37,7.375482851,224.0581164,23.48381344,81.33265073
rice,66,53,41,7.778915154,257.0038865,25.0756354,80.52389148
rice,97,59,43,6.286500176,271.3586137,26.35927159,84.04403589
rice,97,50,41,7.070959995,260.2634026,24.52922681,80.54498576
rice,60,49,44,6.244841491,240.0810647,20.77576147,84.49774397
rice,84,51,35,6.043304899,197.9791215,22.30157427,80.64416466
rice,73,57,41,5.824709117,272.2017204,21.44653958,84.94375962
rice,92,35,40,6.357389366,200.0882787,22.17931888,80.33127223
rice,85,37,39,6.364134968,224.6757231,24.52783742,82.73685569
rice,98,53,38,5.01450727,270.4417274,20.26707606,81.63895217
rice,88,54,44,6.149410611,233.1321372,25.7354293,83.88266234
rice,95,55,42,5.950660556,193.3473987,26.79533926,82.1480873
rice,99,57,35,5.960370061,272.2999056,26.75754171,81.17734011
rice,95,39,36,5.561398642,285.2493645,23.86330467,83.15250801
rice,60,43,44,7.416245107,298.4018471,21.01944696,82.95221726
rice,63,44,41,5.583370042,257.0343554,24.17298839,83.7287574
rice,62,42,36,6.430010215,248.7183228,22.78133816,82.06719137
rice,64,45,43,5.534878156,209.9001977,25.62980105,83.52842314
rice,83,60,36,6.903985986,200.834898,25.59704938,80.14509262
rice,82,40,40,6.271478838,298.5601175,23.83067496,84.81360127
rice,85,52,45,7.224285503,265.5355937,26.31355498,82.36698992
rice,91,35,38,6.13428721,183.6793207,24.8972823,80.52586088
rice,76,49,42,5.206373153,196.9560008,24.958779,84.47963372
rice,74,39,38,7.782051313,233.0453455,23.24113501,84.59201843
rice,79,43,39,7.062779015,210.8142087,21.66628296,80.70960551
rice,88,55,45,7.730367824,253.7202781,24.63544858,80.41363018
rice,60,36,43,5.286203711,219.9048349,23.43121862,83.06310136
rice,76,60,39,6.766240045,208.5810155,20.0454142,80.3477562
rice,93,56,42,7.382762603,195.0948311,23.85724032,82.22572988
rice,65,60,43,5.658169482,227.3637009,21.97199397,81.89918197
rice,95,52,36,5.543360238,286.5083725,26.22916897,83.83625819
rice,75,38,39,6.215109715,283.9338466,23.44676801,84.79352417
rice,74,54,38,7.120272972,217.3788583,25.65553461,83.47021081
rice,91,36,45,5.950647577,267.9761948,24.44345477,82.45432595
rice,71,46,40,7.236705436,191.9535738,20.2801937,82.1235421
rice,99,55,35,6.501697816,277.9626192,21.7238313,80.2389895
rice,72,40,38,7.592490617,245.1511304,20.41447029,82.20802629
rice,83,58,45,5.875345751,245.6626799,25.75528612,83.51827127
rice,93,58,38,6.932400225,279.5451717,20.61521424,83.77345559
rice,70,36,42,6.946209881,202.3838319,21.84106875,80.72886384
rice,76,47,42,5.739175027,263.6372176,20.08369642,83.29114712
rice,99,41,36,6.738652179,182.5616319,24.45802087,82.74835604
rice,99,54,37,5.594819626,198.6730942,21.14347496,80.33502926
rice,86,59,35,6.946636369,243.5120414,25.78720567,82.11124033
rice,69,46,41,5.012139669,263.1103304,23.64124821,80.28597873
rice,91,56,37,6.363472208,269.5039162,23.43191632,80.56887849
rice,61,52,41,6.880431223,204.8001847,24.97669518,83.891805
rice,67,45,38,7.300410836,260.8875056,22.72791041,82.1706881
rice,79,42,37,6.587918708,295.6094492,24.87300744,82.84022551
rice,78,43,42,7.283736617,192.3197536,21.32376327,83.00320459
rice,75,54,36,7.023936392,257.4914906,26.29465461,84.56919326
rice,97,36,45,6.939083505,278.0791793,22.2286982,81.85872947
rice,67,47,44,7.868474653,280.4044392,26.73072391,81.78596776
rice,73,35,38,5.005306977,185.9461429,24.88921174,81.97927117
rice,77,36,37,6.136131869,194.5766559,26.88444878,81.46033732
rice,81,41,38,7.524080076,200.9133156,22.67846116,83.72874389
rice,68,57,43,5.706943251,182.9043504,26.08867875,80.37979919
rice,72,45,35,5.758506323,195.3574542,25.42977518,82.94682591
rice,61,53,43,6.349606327,223.3671883,26.40323239,81.05635517
rice,67,43,39,5.999969026,186.7536773,26.04371967,84.96907151
rice,67,58,39,5.453592032,220.1156708,25.2827223,80.54372813
rice,66,60,38,6.372576327,231.7364957,22.08576562,83.47038318
rice,82,43,38,5.105588355,242.3170629,23.28617173,81.43321641
rice,84,50,44,5.935344406,182.6549356,25.48591986,81.40633547
rice,81,53,42,5.17782304,233.7034975,23.67575393,81.03569343
rice,91,50,40,6.462391607,230.2242223,20.82477109,84.1341879
rice,93,53,38,7.069172227,290.6793783,26.92995077,81.91411159
rice,90,44,38,7.473134377,241.2013513,23.83509503,83.88387074
rice,81,45,35,6.158376967,218.9163567,26.52872817,80.12267476
rice,78,40,38,7.549873681,248.2256491,26.46428311,83.85642678
rice,60,51,36,6.028321558,256.9964761,22.69657794,82.81088865
rice,88,46,42,6.604993475,194.2651719,22.68319059,83.46358271
rice,93,47,37,6.500343222,295.9248796,21.53346343,82.14004101
rice,60,55,45,5.935745417,287.5766935,21.40865769,83.3293191
rice,78,35,44,7.072655622,183.6222657,26.54348085,84.67353597
